meals,speed,acuity,Rate
420,0.17,0.06,300.0
373,0.18,0.06,300.0
424,0.19,0.06,300.0
0,0.0,0.07,300.0
25,0.01,0.07,300.0
49,0.02,0.07,300.0
83,0.03,0.07,300.0
80,0.04,0.07,300.0
98,0.05,0.07,300.0
145,0.06,0.07,300.0
174,0.07,0.07,300.0
205,0.08,0.07,300.0
217,0.09,0.07,300.0
244,0.1,0.07,300.0
298,0.11,0.07,300.0
276,0.12,0.07,300.0
324,0.13,0.07,300.0
349,0.14,0.07,300.0
367,0.15,0.07,300.0
367,0.16,0.07,300.0
391,0.17,0.07,300.0
428,0.18,0.07,300.0
443,0.19,0.07,300.0
0,0.0,0.08,300.0
32,0.01,0.08,300.0
45,0.02,0.08,300.0
77,0.03,0.08,300.0
109,0.04,0.08,300.0
143,0.05,0.08,300.0
153,0.06,0.08,300.0
188,0.07,0.08,300.0
180,0.08,0.08,300.0
245,0.09,0.08,300.0
262,0.1,0.08,300.0
282,0.11,0.08,300.0
298,0.12,0.08,300.0
315,0.13,0.08,300.0
343,0.14,0.08,300.0
380,0.15,0.08,300.0
404,0.16,0.08,300.0
422,0.17,0.08,300.0
411,0.18,0.08,300.0
430,0.19,0.08,300.0
0,0.0,0.09,300.0
31,0.01,0.09,300.0
52,0.02,0.09,300.0
70,0.03,0.09,300.0
106,0.04,0.09,300.0
134,0.05,0.09,300.0
153,0.06,0.09,300.0
174,0.07,0.09,300.0
207,0.08,0.09,300.0
242,0.09,0.09,300.0
249,0.1,0.09,300.0
253,0.11,0.09,300.0
321,0.12,0.09,300.0
